matrix,opt_level,threads,schedule,chunksize,time_ms_mean,time_ms_p90
cant,O3,8,guided,100.0,1.244423858,1.6130619
cant,O3,8,guided,1000.0,1.242343707,1.5690917000000002
cant,O3,8,static,10.0,1.417419452,2.0191164
cant,O3,8,static,100.0,1.419821791,1.8283199
cant,O3,8,static,1000.0,1.357810034,1.7271485999999998
cant,O3,16,dynamic,10.0,1.004536143,1.1774166000000001
cant,O3,16,dynamic,100.0,0.806784674,1.0066899000000002
cant,O3,16,dynamic,1000.0,0.9231274460000001,1.0181637
cant,O3,16,guided,10.0,0.842373049,0.94555668
cant,O3,16,guided,100.0,0.895559085,0.97343747
cant,O3,16,guided,1000.0,0.910603013,1.0142090000000001
cant,O3,16,static,10.0,0.9843676619999999,1.1402340000000002
cant,O3,16,static,100.0,0.9222998080000001,0.97045898
cant,O3,16,static,1000.0,0.9360693480000001,0.98391112
cant,O3,32,dynamic,10.0,0.754548334,0.96232914
cant,O3,32,dynamic,100.0,0.614975588,0.9405517500000001
cant,O3,32,dynamic,1000.0,0.611240233,0.8252685399999999
cant,O3,32,guided,10.0,0.626926268,0.8934570300000001
cant,O3,32,guided,100.0,0.589494632,0.8235107600000001
cant,O3,32,guided,1000.0,0.64275147,0.8260498300000001
cant,O3,32,static,10.0,0.470778806,0.6116943600000005
cant,O3,32,static,100.0,0.503950197,0.5339355
cant,O3,32,static,1000.0,0.49510986500000004,0.52031247
cant,O3,64,dynamic,10.0,0.6758447339999999,0.8483154100000009
cant,O3,64,dynamic,100.0,0.549645996,0.81379396
cant,O3,64,dynamic,1000.0,0.580271004,0.83586422
cant,O3,64,guided,10.0,0.612055664,0.76816406
cant,O3,64,guided,100.0,0.506501463,0.6717040700000001
cant,O3,64,guided,1000.0,0.588762205,0.79982911
cant,O3,64,static,10.0,0.358139603,0.381323220000001
cant,O3,64,static,100.0,0.295236822,0.31330568000000003
cant,O3,64,static,1000.0,0.297783195,0.33115235
cant,O3,128,dynamic,10.0,9.635351324,14.084423
cant,O3,128,dynamic,100.0,7.794308983,13.838521
cant,O3,128,dynamic,1000.0,7.799204349,13.645017000000001
cant,O3,128,guided,10.0,9.709613894,13.999997
cant,O3,128,guided,100.0,6.514916893,13.824391
cant,O3,128,guided,1000.0,7.479152873,13.191459
cant,O3,128,static,10.0,5.2479052479999995,13.127072000000002
cant,O3,128,static,100.0,2.730212446,13.151856
cant,O3,128,static,1000.0,3.522802873,13.095925
cant,Ofast,1,sequential,,5.00136477,5.12041
circuit5M,O0,1,sequential,,209.110157,212.01439000000025
circuit5M,O1,1,sequential,,109.69772119999999,117.23689999999999
circuit5M,O2,1,sequential,,82.6142187,82.856961
circuit5M,O3,1,sequential,,81.8756177,83.142774
circuit5M,O3,2,dynamic,10.0,101.99445970000001,103.4821
circuit5M,O3,2,dynamic,100.0,71.8052613,72.851735
circuit5M,O3,2,dynamic,1000.0,61.2074608,62.524244
circuit5M,O3,2,guided,10.0,87.24696540000001,88.91572599999999
circuit5M,O3,2,guided,100.0,87.4254074,89.072215
circuit5M,O3,2,guided,1000.0,87.448081,89.105273
circuit5M,O3,2,static,10.0,106.639939,108.41713
circuit5M,O3,2,static,100.0,79.3629708,80.877613
circuit5M,O3,2,static,1000.0,61.8504565,62.893458
circuit5M,O3,4,dynamic,10.0,77.1203441,78.222363
circuit5M,O3,4,dynamic,100.0,41.2717167,42.524167
circuit5M,O3,4,dynamic,1000.0,34.7934917,36.60161
circuit5M,O3,4,guided,10.0,76.4065721,77.973827
circuit5M,O3,4,guided,100.0,76.2091722,77.88613600000001
circuit5M,O3,4,guided,1000.0,76.2408133,77.90820000000001
circuit5M,O3,4,static,10.0,85.65893260000001,86.97685200000001
circuit5M,O3,4,static,100.0,44.136916,45.892313
circuit5M,O3,4,static,1000.0,38.3483158,40.37544
circuit5M,O3,8,dynamic,10.0,51.8712597,52.324022
circuit5M,O3,8,dynamic,100.0,27.6825589,30.382227
circuit5M,O3,8,dynamic,1000.0,25.4500174,27.834011
circuit5M,O3,8,guided,10.0,76.5893406,78.32046
circuit5M,O3,8,guided,100.0,76.91408940000001,78.444481
circuit5M,O3,8,guided,1000.0,76.8610617,78.502466
circuit5M,O3,8,static,10.0,51.7196464,53.783082
circuit5M,O3,8,static,100.0,35.118876799999995,37.909013
circuit5M,O3,8,static,1000.0,31.2939478,34.02971
circuit5M,O3,16,dynamic,10.0,41.9177833,42.784062
circuit5M,O3,16,dynamic,100.0,23.939661,25.801195
circuit5M,O3,16,dynamic,1000.0,27.8081222,29.638550000000002
circuit5M,O3,16,guided,10.0,51.4315017,52.409962
circuit5M,O3,16,guided,100.0,51.3327247,52.242895000000004
circuit5M,O3,16,guided,1000.0,51.449360399999996,52.384934
circuit5M,O3,16,static,10.0,36.862722,39.753689
circuit5M,O3,16,static,100.0,32.54969,35.102318
circuit5M,O3,16,static,1000.0,31.312515199999996,33.360641
circuit5M,O3,32,dynamic,10.0,48.354179699999996,49.480737
circuit5M,O3,32,dynamic,100.0,17.4407837,18.326412
circuit5M,O3,32,dynamic,1000.0,24.0981258,25.921390000000002
circuit5M,O3,32,guided,10.0,42.915637100000005,49.521460000000005
circuit5M,O3,32,guided,100.0,43.454374699999995,49.963354
circuit5M,O3,32,guided,1000.0,44.9100783,49.803616999999996
circuit5M,O3,32,static,10.0,26.3535765,27.14267700000002
circuit5M,O3,32,static,100.0,22.036301400000003,25.987158
circuit5M,O3,32,static,1000.0,21.9331597,24.065579000000007
circuit5M,O3,64,dynamic,10.0,194.8618949,597.0189900000009
circuit5M,O3,64,dynamic,100.0,121.0271285,214.1240000000002
circuit5M,O3,64,dynamic,1000.0,183.5155901,280.33331000000004
circuit5M,O3,64,guided,10.0,126.89041569999999,170.01850000000002
circuit5M,O3,64,guided,100.0,127.44378060000001,174.03608
circuit5M,O3,64,guided,1000.0,130.3092264,172.29971
circuit5M,O3,64,static,10.0,39.2574873,45.63418100000002
circuit5M,O3,64,static,100.0,55.2315085,76.78984100000001
circuit5M,O3,64,static,1000.0,40.1152443,56.79479600000001
circuit5M,O3,128,dynamic,10.0,286.8682115,456.1342000000068
circuit5M,O3,128,dynamic,100.0,230.26713790000002,486.14670000000274
circuit5M,O3,128,dynamic,1000.0,227.7471343,329.47883000000036
circuit5M,O3,128,guided,10.0,148.85056360000002,203.27631000000002
circuit5M,O3,128,guided,100.0,147.1299599,193.58439000000007
circuit5M,O3,128,guided,1000.0,148.6717846,206.15181
circuit5M,O3,128,static,10.0,104.3731739,125.33562000000006
circuit5M,O3,128,static,100.0,146.8144468,194.55683000000002
circuit5M,O3,128,static,1000.0,124.3733777,156.17912000000007
circuit5M,Ofast,1,sequential,,84.4019533,84.60634999999999
ex40,O0,1,sequential,,1.3841626500000002,1.3938234
ex40,O1,1,sequential,,0.5139868169999999,0.5458984
ex40,O2,1,sequential,,0.515786132,0.5380859
ex40,O3,1,sequential,,0.49599365300000003,0.5100098
ex40,O3,2,dynamic,10.0,0.305007324,0.31311037
ex40,O3,2,dynamic,100.0,0.268803715,0.27597656
ex40,O3,2,dynamic,1000.0,0.284792472,0.29689941000000003
ex40,O3,2,guided,10.0,0.269067373,0.28395992000000003
ex40,O3,2,guided,100.0,0.27381591499999997,0.2880859
ex40,O3,2,guided,1000.0,0.262104498,0.269043
ex40,O3,2,static,10.0,0.28214354999999997,0.28916016
ex40,O3,2,static,100.0,0.269650863,0.2768555
ex40,O3,2,static,1000.0,0.284680175,0.2958984
ex40,O3,4,dynamic,10.0,0.164423824,0.17121584
ex40,O3,4,dynamic,100.0,0.1367334,0.1450195
ex40,O3,4,dynamic,1000.0,0.151584474,0.1599121
ex40,O3,4,guided,10.0,0.140178224,0.14895021
ex40,O3,4,guided,100.0,0.136318356,0.1428223
ex40,O3,4,guided,1000.0,0.155939946,0.16926274
ex40,O3,4,static,10.0,0.143857406,0.15119625
